Paese,Valuta,Codice ISO,Codice UIC,Euro,Dollaro USA,Convenzione di cambio contro Dollaro,Convenzione di cambio contro Euro,Data di riferimento (CET)
BRASILE,Real,BRL,234,5.3184,4.8873,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
BRUNEI DARUSSALAM,Dollaro Brunei,BND,139,1.4589,1.3407,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
BULGARIA,Nuovo Lev Bulgaria,BGN,262,1.9558,1.7973,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
BURKINA FASO,Franco CFA,XOF,209,655.957,602.791,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
BURUNDI,Franco Burundi,BIF,140,3110.588,2858.471,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
CAMBOGIA,Riel Kampuchea,KHR,141,4443.89,4083.71,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
CAMERUN,Franco CFA,XAF,043,655.957,602.791,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
CANADA,Dollaro Canadese,CAD,012,1.4661,1.3473,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
CAPO VERDE,Escudo Capo Verde,CVE,181,110.265,101.328,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
CAYMAN (Isole),Dollaro Isole Cayman,KYD,205,0.8923,0.82,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
CECA (Repubblica),Corona Ceca,CZK,223,24.7100,22.7072,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
CENTRAFRICANA (Repubblica),Franco CFA,XAF,043,655.957,602.791,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
CIAD,Franco CFA,XAF,043,655.957,602.791,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
CILE,Peso Cileno,CLP,029,993.13,912.64,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
CINA (Repubblica Popolare di),Renminbi(Yuan),CNY,144,7.8237,7.1896,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
COLOMBIA,Peso Colombiano,COP,040,4250.91,3906.37,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
COMORE (Isole),Franco Isole Comore,KMF,210,491.96775,452.09314,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
CONGO (Repubblica Democratica),Franco Congolese,CDF,261,2886.4534,2652.5027,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
CONGO (Repubblica del),Franco CFA,XAF,043,655.957,602.791,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
COREA DEL NORD,Won Nord,KPW,182,2.3940,2.2,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
COREA DEL SUD,Won Sud,KRW,119,1454.92,1337.00,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
COSTA D AVORIO,Franco CFA,XOF,209,655.957,602.791,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
COSTA RICA,Colon Costa Rica,CRC,077,565.5702,519.73,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
CUBA,Peso Cubano,CUP,067,26.1168,24,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
DANIMARCA,Corona Danese,DKK,007,7.4582,6.8537,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
DOMINICA,Dollaro Caraibi Est,XCD,137,2.9381,2.70,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
DOMINICANA (Repubblica),Peso Dominicano,DOP,116,63.9265,58.7452,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
EGITTO,Lira Egiziana,EGP,070,33.6392,30.9127,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
EL SALVADOR,Colon Salvadoregno,SVC,117,9.5218,8.75,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
EMIRATI ARABI UNITI,Dirham Emirati Arabi,AED,187,3.9964,3.6725,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
ERITREA,Nakfa,ERN,243,16.7365,15.38,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
ESWATINI (EX SWAZILAND),Lilangeni,SZL,173,20.5528,18.8870,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
ETIOPIA,Birr,ETB,068,61.5488,56.5602,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
FALKLAND o MALVINE (Isole),Sterlina Falkland,FKP,146,0.86078,1.2642,Quantita' di Dollari per 1 unita' di valuta estera,Quantita' di valuta estera per 1 Euro,2024-01-16
FIJI,Dollaro Fiji,FJD,147,2.4443,0.4452,Quantita' di Dollari per 1 unita' di valuta estera,Quantita' di valuta estera per 1 Euro,2024-01-16
FILIPPINE,Peso Filippino,PHP,066,60.9390,55.9998,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
FONDO MONETARIO INTERNAZIONALE,DSP,XDR,188,0.817170,0.750937,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
GABON,Franco CFA,XAF,043,655.957,602.791,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
GAMBIA,Dalasi,GMD,193,71.69,65.88,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
GEORGIA,Lari,GEL,230,2.8895,2.6553,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
GHANA,Nuovo Cedi Ghana,GHS,276,13.0585,12.0001,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
GIAMAICA,Dollaro Giamaicano,JMD,142,169.1104,155.4038,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
GIAPPONE,Yen Giapponese,JPY,071,159.6400,146.7010,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
GIBILTERRA,Sterlina Gibilterra,GIP,044,0.86078,1.2642,Quantita' di Dollari per 1 unita' di valuta estera,Quantita' di valuta estera per 1 Euro,2024-01-16
GIBUTI,Franco Gibuti,DJF,083,193.396,177.721,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
GIORDANIA,Dinaro Giordano,JOD,089,0.7715,0.709,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
GRENADA,Dollaro Caraibi Est,XCD,137,2.9381,2.70,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
GUATEMALA,Quetzal,GTQ,078,8.5095,7.81975,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
GUINEA,Franco Guineano,GNF,129,9253.1155,8503.1387,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
GUINEA BISSAU,Franco CFA,XOF,209,655.957,602.791,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
GUINEA EQUATORIALE,Franco CFA,XAF,043,655.957,602.791,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
GUYANA,Dollaro Guyana,GYD,149,227.6732,209.22,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
HAITI,Gourde,HTG,151,143.2000,131.5935,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
HONDURAS,Lempira,HNL,118,26.8435,24.6678,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
HONG KONG (Cina),Dollaro Hong Kong,HKD,103,8.5160,7.8258,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
INDIA,Rupia Indiana,INR,031,90.4250,83.0959,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
INDONESIA,Rupia Indonesiana,IDR,123,16985.88,15609.15,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
IRAN,Rial Iraniano,IRR,057,428197,393491,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
IRAQ,Dinaro Iracheno,IQD,093,1425.542,1310,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
ISLANDA,Corona Islanda,ISK,062,149.30,137.20,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
ISRAELE,Shekel,ILS,203,4.0985,3.7663,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
KAZAKISTAN,Tenge Kazakistan,KZT,231,491.46,451.63,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
KENYA,Scellino Keniota,KES,022,174.2674,160.1428,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
KIRGHIZISTAN,Som,KGS,225,97.1941,89.3164,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
KUWAIT,Dinaro Kuwait,KWD,102,0.3346,0.3075,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
LAOS,Lao Kip,LAK,154,22453,20633,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
LESOTHO,Loti,LSL,172,20.5528,18.8870,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
LIBANO,Lira Libanese,LBP,032,16323.00,15000.0,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
LIBERIA,Dollaro Liberia,LRD,155,205.7786,189.10,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
LIBIA,Dinaro Libico,LYD,069,5.2242,4.8008,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
MACAO,Pataca,MOP,156,8.7715,8.0606,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
MACEDONIA,Dinaro Macedonia,MKD,236,61.2466,56.2825,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
MADAGASCAR,Ariary,MGA,268,4960.78,4558.70,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
MALAWI,Kwacha Malawi,MWK,157,1830.0568,1681.7284,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
MALAYSIA,Ringgit,MYR,055,5.1058,4.6920,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
MALDIVE,Rufiyaa,MVR,158,16.7800,15.42,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
MALI,Franco CFA,XOF,209,655.957,602.791,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
MAROCCO,Dirham Marocco,MAD,084,10.840,9.961,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
MAURITANIA,Ouguiya,MRU,282,43.071,39.580,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
MAURITIUS,Rupia Mauritius,MUR,170,49.4046,45.4003,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
MESSICO,Peso Messicano,MXN,222,18.5390,17.0364,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
MOLDAVIA,Leu Moldavia,MDL,235,19.1952,17.6394,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
MONGOLIA,Tugrik,MNT,160,3708.83,3408.22,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
MOZAMBICO,Nuovo Metical Mozambico,MZN,272,69.54,63.90,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
MYANMAR (Birmania),Kyat,MMK,107,2285.2,2100.0,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
NAMIBIA,Dollaro Namibia,NAD,252,20.5528,18.8870,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
NEPAL,Rupia Nepalese,NPR,161,144.6800,132.95,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
NICARAGUA,Cordoba Oro,NIO,120,39.9481,36.7103,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
NIGER,Franco CFA,XOF,209,655.957,602.791,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
NIGERIA,Naira,NGN,081,928.5284,853.27,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
NORVEGIA,Corona Norvegese,NOK,008,11.3335,10.4149,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
NUOVA ZELANDA,Dollaro Neozelandese,NZD,113,1.7681,0.6155,Quantita' di Dollari per 1 unita' di valuta estera,Quantita' di valuta estera per 1 Euro,2024-01-16
OMAN,Rial Oman,OMR,184,0.4184,0.3845,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
PAKISTAN,Rupia Pakistana,PKR,026,304.9095,280.1962,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
PANAMA,Balboa,PAB,162,1.0882,1,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
PAPUA NUOVA GUINEA,Kina,PGK,190,4.0635,0.2678,Quantita' di Dollari per 1 unita' di valuta estera,Quantita' di valuta estera per 1 Euro,2024-01-16
PARAGUAY,Guarani,PYG,101,7926.11,7283.69,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
PERU,Nuevo Sol,PEN,201,4.0234,3.6973,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
POLINESIA FRANCESE,Franco C.F.P.,XPF,105,119.3317,109.66,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
POLONIA,Zloty,PLN,237,4.3870,4.0314,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
QATAR,Riyal Qatar,QAR,189,3.9610,3.64,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
REGNO UNITO,Sterlina Gran Bretagna,GBP,002,0.86078,1.2642,Quantita' di Dollari per 1 unita' di valuta estera,Quantita' di valuta estera per 1 Euro,2024-01-16
ROMANIA,Nuovo Leu,RON,270,4.9763,4.5730,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
RUSSIA,Rublo Russia,RUB,244,N.D.,N.D.,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
RWANDA,Franco Ruanda,RWF,163,1381.0056,1269.0733,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
SALOMONE ISOLE,Dollaro Isole Salomone,SBD,206,9.1986,0.1183,Quantita' di Dollari per 1 unita' di valuta estera,Quantita' di valuta estera per 1 Euro,2024-01-16
SAMOA OCCIDENTALI,Tala,WST,164,2.9422,2.7037,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
SANT ELENA,Sterlina S.Elena,SHP,207,0.86078,1.2642,Quantita' di Dollari per 1 unita' di valuta estera,Quantita' di valuta estera per 1 Euro,2024-01-16
SAO TOME e PRINCIPE,Dobra,STN,283,24.5000,22.5142,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
SENEGAL,Franco CFA,XOF,209,655.957,602.791,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
SERBIA,Dinaro Serbo,RSD,274,116.7882,107.3224,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
SEYCHELLES,Rupia Seychelles,SCR,185,15.3743,14.1282,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
SIERRA LEONE,Leone,SLE,291,24.5178,22.5306,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
SINGAPORE,Dollaro Singapore,SGD,124,1.4589,1.3407,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
SIRIA,Lira Siriana,SYP,036,13670.5125,12562.50,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
SOMALIA,Scellino Somalo,SOS,065,621.8954,571.49,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
SRI LANKA,Rupia Sri Lanka,LKR,058,350.6977,322.2732,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
ST. LUCIA,Dollaro Caraibi Est,XCD,137,2.9381,2.70,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
ST. VINCENT E GRENADINES,Dollaro Caraibi Est,XCD,137,2.9381,2.70,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
ST.KITTIS E NEVIS,Dollaro Caraibi Est,XCD,137,2.9381,2.70,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
STATI UNITI,Dollaro USA,USD,001,1.0882,1,-,Quantita' di valuta estera per 1 Euro,2024-01-16
SUD AFRICA,Rand,ZAR,082,20.5528,18.8870,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
SUD SUDAN,Sterlina Sud Sudan,SSP,279,1179.7830,1084.1601,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
SUDAN,Sterlina Sudanese,SDG,275,653.4606,600.4968,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
SURINAME,Dollaro Suriname,SRD,266,40.049,36.803,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
SVEZIA,Corona Svedese,SEK,009,11.3215,10.4039,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
SVIZZERA,Franco Svizzero,CHF,003,0.9361,0.8602,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
TAGIKISTAN,Somoni,TJS,264,11.9163,10.9505,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
TAIWAN,Dollaro Taiwan,TWD,143,34.1380,31.3711,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
TANZANIA,Scellino Tanzania,TZS,125,2735.1906,2513.4999,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
THAILANDIA,Baht,THB,073,38.522,35.400,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
TOGO,Franco CFA,XOF,209,655.957,602.791,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
TONGA ISOLA,Pa Anga,TOP,167,2.5325,0.4297,Quantita' di Dollari per 1 unita' di valuta estera,Quantita' di valuta estera per 1 Euro,2024-01-16
TRINIDAD e TOBAGO,Dollaro Trinidad eTobago,TTD,166,7.3809,6.7827,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
TUNISIA,Dinaro Tunisino,TND,080,3.3803,3.1063,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
TURCHIA,Lira Turchia (nuova),TRY,267,32.7624,30.1070,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
TURKMENISTAN,Manat Turkmenistan (nuovo),TMT,278,3.8087,3.50,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
UCRAINA,Hryvnia,UAH,241,41.2848,37.9247,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
UGANDA,Scellino Ugandese,UGX,126,4145.85,3809.82,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
UNGHERIA,Forint Ungherese,HUF,153,379.3600,348.6124,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
UNIONE MONETARIA EUROPEA,Euro,EUR,242,1,0.9189,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
URUGUAY,Peso Uruguaiano,UYU,053,42.7659,39.2997,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
UZBEKISTAN,Sum Uzbekistan,UZS,232,13483.51,12390.65,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
VANUATU,Vatu,VUV,208,129.41,118.92,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
VENEZUELA,Bolivar Soberano,VES,284,39.0984,35.9294,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
VIETNAM,Dong,VND,145,26660,24499,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
YEMEN,Rial,YER,122,272.31,250.24,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
ZAMBIA,Kwacha Zambia,ZMW,148,28.5070,26.1965,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
ZIMBABWE,Dollaro Zimbabwese,ZWL,061,9391.4022,8630.2171,Quantita' di valuta estera per 1 Dollaro,Quantita' di valuta estera per 1 Euro,2024-01-16
